Twitter_Sentiment,News_Sentiment,Average_Score,Sentiment,datetime
0.04247583416436272,0.10798708704250576,0.09488483646687716,Slightly Positive,2020-12-29 13:40:49
0.05419668090803415,0.10798708704250576,0.09722900581561143,Slightly Positive,2020-12-29 13:25:45
0.051971343357137836,0.10798708704250576,0.09678393830543218,Slightly Positive,2020-12-29 13:10:44
0.055786212372338544,0.1443206146725369,0.12661373421249722,Slightly Positive,2020-12-29 12:55:46
0.04669899852352997,0.2305496895339009,0.19377955133182675,Slightly Positive,2020-12-29 12:40:45
0.0550243898790149,0.21656639096008398,0.1842579907438702,Slightly Positive,2020-12-29 12:25:46
0.058806984512112026,0.22725845715792656,0.19356816262876367,Slightly Positive,2020-12-29 12:10:45
0.0536168013129874,0.14763113878264672,0.12882827128871485,Slightly Positive,2020-12-29 11:55:44
0.07350055970726531,0.0468186387826467,0.05215502296757042,Slightly Positive,2020-12-29 11:40:44
0.06632435994131006,0.05256401426062896,0.05531608339676517,Slightly Positive,2020-12-29 11:25:45
0.0414767528193532,0.07151438886757816,0.06550686165793318,Slightly Positive,2020-12-29 11:10:45
0.06008185969434038,0.07474381995347085,0.07181142790164476,Slightly Positive,2020-12-29 10:55:45
0.07193114450219723,0.07861189241782097,0.07727574283469622,Slightly Positive,2020-12-29 10:40:45
0.058422464724835525,0.0770644713343773,0.07333607001246895,Slightly Positive,2020-12-29 10:25:43
0.0626987870155734,0.08095676453187768,0.07730516902861682,Slightly Positive,2020-12-29 10:10:43
0.058568548095148575,0.08095676453187768,0.07647912124453186,Slightly Positive,2020-12-29 09:55:43
0.07301147659629759,0.1198509195146744,0.11048303093099902,Slightly Positive,2020-12-29 09:40:44
0.05671571830814421,0.1198509195146744,0.10722387927336836,Slightly Positive,2020-12-29 09:25:43
0.05820204724102852,0.10982020824167192,0.09949657604154324,Slightly Positive,2020-12-29 09:10:45
0.07497702723393164,0.17203065840327506,0.15261993216940636,Slightly Positive,2020-12-29 08:55:43
0.06026888667452227,0.17327872259507704,0.1506767554109661,Slightly Positive,2020-12-29 08:40:44
0.05335436902984658,0.18384681066330352,0.15774832233661212,Slightly Positive,2020-12-29 08:25:43
0.05759154441432161,0.1718042708421376,0.1489617255565744,Slightly Positive,2020-12-29 08:10:43
0.07421564808983679,0.1718042708421376,0.15228654629167745,Slightly Positive,2020-12-29 07:55:44
0.07401806287864357,0.09599416889549416,0.09159894769212404,Slightly Positive,2020-12-29 07:40:43
0.0639248459662064,0.09599416889549416,0.08958030430963661,Slightly Positive,2020-12-29 07:25:43
0.07095896289818801,0.09599416889549416,0.09098712769603293,Slightly Positive,2020-12-29 07:10:43
0.04692261769815348,0.2081395662759533,0.17589617656039333,Slightly Positive,2020-12-29 06:55:43
0.08289447154530663,0.2360161808928348,0.2053918390233292,Positive,2020-12-29 06:40:43
0.05953702507337001,0.2299700036590821,0.19588340794193967,Slightly Positive,2020-12-29 06:25:43
0.06617525929060887,0.2299700036590821,0.19721105478538745,Slightly Positive,2020-12-29 06:10:42
0.07748072033820727,0.1832200727254188,0.16207220224797647,Slightly Positive,2020-12-29 05:55:43
0.05461969243111233,0.1832200727254188,0.15749999666655748,Slightly Positive,2020-12-29 05:40:43
0.05345762055363355,0.2230406881020313,0.18912407459235173,Slightly Positive,2020-12-29 05:25:42
0.0492331433233659,0.2363876359699361,0.19895673744062206,Slightly Positive,2020-12-29 05:10:43
0.07293098670340475,0.2363876359699361,0.20369630611662976,Positive,2020-12-29 04:55:43
0.06573300790148162,0.2363876359699361,0.20225671035624515,Positive,2020-12-29 04:40:41
0.06522960628949181,0.2669179860517403,0.2265803100992905,Positive,2020-12-29 04:25:42
0.04722240657425101,0.3045508007409532,0.2530851219076128,Positive,2020-12-29 04:10:41
0.04992977341280885,0.2444225042337448,0.2055239580695576,Positive,2020-12-29 03:55:42
0.05728360461052875,0.26519706454473524,0.223614372557894,Positive,2020-12-29 03:40:42
0.06217187430152305,0.2490332215711991,0.21166095211726388,Positive,2020-12-29 03:25:43
0.03730049693136368,0.1833753077295924,0.15416034556994665,Slightly Positive,2020-12-29 03:10:42
0.04304408652350482,0.18305936048738614,0.15505630569460988,Slightly Positive,2020-12-29 02:55:41
0.06114054606419204,0.14935286437001144,0.13171040070884754,Slightly Positive,2020-12-29 02:40:43
0.044547048996206005,0.1490369171278052,0.12813894350148536,Slightly Positive,2020-12-29 02:25:41
0.054091379854808164,0.14719990581093276,0.12857820061970784,Slightly Positive,2020-12-29 02:10:42
0.07236281001427779,0.2057609197998791,0.17908129784275886,Slightly Positive,2020-12-29 01:55:43
0.056157768944172785,0.2422839396113309,0.20505870547789928,Positive,2020-12-29 01:40:43
0.06940005444650675,0.3321096234191991,0.2795677096246606,Positive,2020-12-29 01:25:42
0.028804516196284605,0.3321096234191991,0.2714486019746162,Positive,2020-12-29 01:10:42
0.05125238700537753,0.2422839396113309,0.2040776290901402,Positive,2020-12-29 00:55:42
0.06963423830868724,0.2644206203228435,0.2254633439200123,Positive,2020-12-29 00:40:42
0.06275678439056451,0.2655613772246903,0.2250004586578652,Positive,2020-12-29 00:25:42
0.03706836943510799,0.22367054527322747,0.1863501101056036,Slightly Positive,2020-12-29 00:10:43
0.07409149724481369,0.2763000307025896,0.2358583240110345,Positive,2020-12-28 23:55:30
0.06453859684410464,0.1909877587636742,0.1656979263797603,Slightly Positive,2020-12-28 23:40:30
0.04482475384977737,0.20679053782044388,0.17439738102631058,Slightly Positive,2020-12-28 23:25:30
0.06134273715813949,0.187897676682324,0.1625866887774871,Slightly Positive,2020-12-28 23:10:30
0.06325509093077564,0.18789767668232396,0.16296915953201432,Slightly Positive,2020-12-28 22:55:30
0.04459410082869178,0.19803682301415687,0.16734827857706386,Slightly Positive,2020-12-28 22:40:30
0.041077352182291166,0.16272178222217515,0.13839289621419834,Slightly Positive,2020-12-28 22:25:30
0.053267715635605374,0.18322288270028173,0.1572318492873465,Slightly Positive,2020-12-28 22:10:30
0.0419748110269608,0.1682828676505557,0.1430212563258367,Slightly Positive,2020-12-28 21:55:30
0.03665812056775583,0.15637494761017912,0.13243158220169446,Slightly Positive,2020-12-28 21:40:30
0.05917083238765289,0.16116024682263014,0.14076236393563468,Slightly Positive,2020-12-28 21:25:30
0.07081557901181086,0.1844570047163729,0.1617287195754605,Slightly Positive,2020-12-28 21:10:30
0.054891055711537705,0.05703120869795456,0.05660317810067119,Slightly Positive,2020-12-28 20:55:30
0.05933666887283232,0.1440655353894417,0.1271197620861198,Slightly Positive,2020-12-28 20:40:30
0.05999653252808593,0.04465460067815979,0.04772298704814501,Neutral,2020-12-28 20:25:30
0.03879561041143671,0.10037774808223322,0.08806132054807392,Slightly Positive,2020-12-28 20:10:30
0.04081931952100242,0.16191141784169644,0.13769299817755765,Slightly Positive,2020-12-28 19:55:30
0.039727791656397136,0.3685791970877912,0.3028089160015124,Positive,2020-12-28 19:40:30
0.06699377924008187,0.2409960658111765,0.2061956084969576,Positive,2020-12-28 19:25:30
0.0565915115117897,0.2551207745490406,0.2154149219415904,Positive,2020-12-28 19:10:30
0.06248321763370299,0.2551207745490406,0.21659326316597305,Positive,2020-12-28 18:55:30
0.04998094925145995,0.2551207745490406,0.21409280948952447,Positive,2020-12-28 18:40:30
0.056372347496270514,0.2590270724990971,0.21849612749853176,Positive,2020-12-28 18:25:30
0.06267379537276217,0.2650401204915516,0.22456685546779367,Positive,2020-12-28 18:10:30
0.0555114955203805,0.16413951458991216,0.14241391077600582,Slightly Positive,2020-12-28 17:55:30
0.07052089296275985,0.21552127993719367,0.18652120254230686,Slightly Positive,2020-12-28 17:40:30
0.06640830002971866,0.13755438149701962,0.12332516520355945,Slightly Positive,2020-12-28 17:25:30
